reg,date,hosp_obs
52,2020-03-03,2
52,2020-03-04,0
52,2020-03-05,4
52,2020-03-06,8
52,2020-03-07,3
52,2020-03-08,3
52,2020-03-09,1
52,2020-03-10,5
52,2020-03-11,10
52,2020-03-12,17
52,2020-03-13,16
52,2020-03-14,21
52,2020-03-15,8
52,2020-03-16,15
52,2020-03-17,8
52,2020-03-18,26
52,2020-03-19,18
52,2020-03-20,29
52,2020-03-21,43
52,2020-03-22,57
52,2020-03-23,53
52,2020-03-24,65
52,2020-03-25,83
52,2020-03-26,90
52,2020-03-27,94
52,2020-03-28,80
52,2020-03-29,60
52,2020-03-30,90
52,2020-03-31,74
52,2020-04-01,63
52,2020-04-02,79
52,2020-04-03,55
52,2020-04-04,65
52,2020-04-05,40
52,2020-04-06,62
52,2020-04-07,49
52,2020-04-08,53
52,2020-04-09,51
52,2020-04-10,52
52,2020-04-11,43
52,2020-04-12,31
52,2020-04-13,21
52,2020-04-14,37
52,2020-04-15,30
52,2020-04-16,29
52,2020-04-17,38
52,2020-04-18,22
52,2020-04-19,13
52,2020-04-20,23
52,2020-04-21,33
52,2020-04-22,22
52,2020-04-23,19
52,2020-04-24,23
52,2020-04-25,13
52,2020-04-26,8
52,2020-04-27,22
52,2020-04-28,19
52,2020-04-29,16
52,2020-04-30,23
52,2020-05-01,13
52,2020-05-02,17
52,2020-05-03,10
52,2020-05-04,13
52,2020-05-05,11
52,2020-05-06,8
52,2020-05-07,13
52,2020-05-08,9
52,2020-05-09,8
52,2020-05-10,12
52,2020-05-11,13
52,2020-05-12,17
52,2020-05-13,13
52,2020-05-14,10
52,2020-05-15,8
52,2020-05-16,8
52,2020-05-17,6
52,2020-05-18,4
52,2020-05-19,12
52,2020-05-20,12
52,2020-05-21,9
52,2020-05-22,7
52,2020-05-23,11
52,2020-05-24,9
52,2020-05-25,4
52,2020-05-26,11
52,2020-05-27,12
52,2020-05-28,7
52,2020-05-29,10
52,2020-05-30,5
52,2020-05-31,3
52,2020-06-01,4
52,2020-06-02,5
52,2020-06-03,4
52,2020-06-04,11
52,2020-06-05,3
52,2020-06-06,6
52,2020-06-07,1
52,2020-06-08,1
52,2020-06-09,12
52,2020-06-10,9
52,2020-06-11,4
52,2020-06-12,6
52,2020-06-13,1
52,2020-06-14,0
52,2020-06-15,2
52,2020-06-16,2
52,2020-06-17,2
52,2020-06-18,3
52,2020-06-19,2
52,2020-06-20,2
52,2020-06-21,2
52,2020-06-22,0
52,2020-06-23,3
52,2020-06-24,2
52,2020-06-25,2
52,2020-06-26,2
52,2020-06-27,2
52,2020-06-28,2
52,2020-06-29,0
52,2020-06-30,3
52,2020-07-01,0
52,2020-07-02,1
52,2020-07-03,1
52,2020-07-04,2
52,2020-07-05,2
53,2020-03-01,5
53,2020-03-02,1
53,2020-03-03,6
53,2020-03-04,7
53,2020-03-05,5
53,2020-03-06,7
53,2020-03-07,4
53,2020-03-08,4
53,2020-03-09,8
53,2020-03-10,8
53,2020-03-11,8
53,2020-03-12,13
53,2020-03-13,11
53,2020-03-14,7
53,2020-03-15,23
53,2020-03-16,12
53,2020-03-17,12
53,2020-03-18,21
53,2020-03-19,24
53,2020-03-20,22
53,2020-03-21,28
53,2020-03-22,18
53,2020-03-23,45
53,2020-03-24,29
53,2020-03-25,60
53,2020-03-26,45
53,2020-03-27,38
53,2020-03-28,45
53,2020-03-29,35
53,2020-03-30,37
53,2020-03-31,40
53,2020-04-01,49
53,2020-04-02,33
53,2020-04-03,38
53,2020-04-04,28
53,2020-04-05,25
53,2020-04-06,28
53,2020-04-07,32
53,2020-04-08,48
53,2020-04-09,43
53,2020-04-10,37
53,2020-04-11,37
53,2020-04-12,25
53,2020-04-13,9
53,2020-04-14,26
53,2020-04-15,24
53,2020-04-16,22
53,2020-04-17,17
53,2020-04-18,17
53,2020-04-19,12
53,2020-04-20,18
53,2020-04-21,20
53,2020-04-22,17
53,2020-04-23,16
53,2020-04-24,10
53,2020-04-25,3
53,2020-04-26,4
53,2020-04-27,13
53,2020-04-28,9
53,2020-04-29,17
53,2020-04-30,12
53,2020-05-01,3
53,2020-05-02,10
53,2020-05-03,5
53,2020-05-04,3
53,2020-05-05,4
53,2020-05-06,6
53,2020-05-07,7
53,2020-05-08,4
53,2020-05-09,7
53,2020-05-10,5
53,2020-05-11,4
53,2020-05-12,6
53,2020-05-13,5
53,2020-05-14,2
53,2020-05-15,3
53,2020-05-16,5
53,2020-05-17,4
53,2020-05-18,6
