ch-median,ch-p1,ch-p2,teen-median,teen-p1,teen-p2,adu-median,adu-p1,adu-p2,sen-median,sen-p1,sen-p2,all-median,all-p1,all-p2,adu+sen-median,adu+sen-p1,adu+sen-p2,time
5.702851572020473,5.512731233243968,6.002462222763831,11.971296005033029,11.187345077068258,12.889060632274298,14.909273318872017,14.379014981019521,15.528236984815619,10.083000074332862,9.564826246933771,10.418529138482123,12.44105197466755,12.021598610105244,13.003536642679942,13.62721772991874,13.095699044364531,14.160275266723621,2020-11-13
5.744887886912015,5.548325615403363,6.0654840970021935,12.100896508335955,11.266099009122366,13.062060396351054,14.984514642082429,14.486341580802605,15.646315686008677,10.13307812383855,9.652954731286702,10.487245967442206,12.53629212444335,12.11408204539501,13.110874231474488,13.689699600659607,13.209162328889597,14.266412095444338,2020-11-14
5.786905922495735,5.577459785522788,6.125361625639775,12.22808273041837,11.341992371815037,13.24824630386914,15.080774132321041,14.588589818329718,15.760409436008677,10.187582695309596,9.737285549691517,10.555588530439307,12.602741266930675,12.187949096260226,13.214709038938626,13.758806349710925,13.302625712753064,14.369067361373256,2020-11-15
5.831026078479161,5.609630453326834,6.189578661954666,12.36896036489462,11.426485923246306,13.447813777917585,15.172780639913231,14.672591648590021,15.884268980477223,10.243596223890583,9.828458522262691,10.63284601947521,12.672199793518962,12.260914025301632,13.327045741713793,13.856690441658554,13.396293833071741,14.480572636242623,2020-11-16
5.882330002437241,5.645573360955399,6.253954728247623,12.505614973262032,11.508952107581,13.646156023906888,15.238316160520608,14.758728985900216,16.00453084327549,10.290942540697243,9.910198840407343,10.706829331747565,12.745227822549579,12.323370148080805,13.436447640106632,13.93282240279737,13.476351846700972,14.58855864939503,2020-11-17
5.933780160857909,5.680746709724591,6.315478003899585,12.63958792072979,11.590655473419314,13.839285152563699,15.316712310195228,14.824909503796096,16.120392828091106,10.3447298000446,9.976026350999778,10.779387683044675,12.81785906898624,12.384551905326903,13.542246791068923,13.988831382989291,13.546414827250512,14.69284942284386,2020-11-18
5.982183767974653,5.715227272727273,6.376482147209358,12.777296319597358,11.668302532242844,14.033383532557405,15.394351952277658,14.890788232104121,16.234844427874187,10.398862707202854,10.03995149780718,10.850090871924477,12.895220888484829,12.444757500346704,13.646733901413006,14.058464625593547,13.60320152782469,14.795607951046033,2020-11-19
6.025621496466001,5.748961430660493,6.4353527906409935,12.919345706196918,11.743349716892105,14.224477823214848,15.475490780911063,14.95606297451193,16.34669305856833,10.45191778785401,10.100758938526722,10.918928677618375,12.978999799682574,12.503788118094826,13.748933001525492,14.127069715693482,13.661588520453778,14.895960652057298,2020-11-20
6.077016816963198,5.782290701925421,6.493578479161588,13.060239068889588,11.818840830449828,14.41288022963196,15.560273861171366,15.01960839208243,16.457356222885032,10.501282241879135,10.156835650040883,10.986630119675908,13.05239918640307,12.561772539562691,13.850038599627103,14.201557626209445,13.71882572070014,14.99514101086762,2020-11-21
6.124165244942724,5.8036086400194975,6.550772910065804,13.196917269581629,11.893753538848694,14.602824787669078,15.64767895878525,15.081997085140998,16.565610493492407,10.539325800936593,10.2019915632201,11.05315338586189,13.129158512720156,12.618870556420175,13.94920431607008,14.274318041841337,13.775272882601872,15.092241422128623,2020-11-22
